PlayerID,Player,Pos,Age,Team,G,MP,MinM,PER,TS_perc,X3PAr,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,X2022_23,C,SG,SF,PG,PF
markkla01,Lauri Markkanen,SF,25,UTA,54,1851,432,22.5,0.657,0.449,0.348,5.8,21.5,13.7,8.4,0.9,1.5,8.8,25.4,5.7,1.5,7.2,0.187,5,-1,4.1,2.8,16475454,0,0,1,0,0
irvinky01,Kyrie Irving,PG,30,TOT,44,1632,352,22.3,0.61,0.428,0.22,3.2,12.1,7.8,24.3,1.4,1.9,9.3,29.6,3.8,1.5,5.3,0.156,4.8,-0.8,4,2.5,36934550,0,0,0,1,0
capelca01,Clint Capela,C,28,ATL,43,1156,344,22,0.633,0.003,0.212,17,28.9,22.9,4.3,1.2,3.8,7.8,16.4,3.1,1.7,4.8,0.199,2,-0.3,1.7,1.1,18706896,1,0,0,0,0
youngtr01,Trae Young,PG,24,ATL,52,1841,416,21.9,0.568,0.338,0.444,2.2,6.8,4.5,43.1,1.4,0.4,15,33,3.5,1.1,4.6,0.121,5.2,-1.9,3.3,2.4,37096500,0,0,0,1,0
jacksja02,Jaren Jackson Jr.,C,23,MEM,40,1088,320,21.8,0.608,0.361,0.351,6.7,19.1,12.9,4.7,1.9,10.8,10.2,23.3,1.7,2.5,4.2,0.186,0.9,2.9,3.7,1.6,28946605,1,0,0,0,0
bradlto01,Tony Bradley,C,25,CHI,12,33,96,21.6,0.69,0.417,0.333,3.4,33.5,18.7,4.4,1.5,2.9,6.8,19.6,0.1,0.1,0.1,0.216,4.3,0.4,4.7,0.1,2036318,1,0,0,0,0
bryanth01,Thomas Bryant,C,25,TOT,44,906,352,21.5,0.71,0.163,0.362,8.6,24.8,16.9,4.8,0.7,2.1,7.4,18.2,2.8,1.1,3.9,0.206,2.2,-0.5,1.8,0.9,1836090,1,0,0,0,0
drumman01,Andre Drummond,C,29,CHI,46,595,368,21.5,0.623,0.01,0.444,18.5,39.1,29,6.6,2.5,2.5,18.3,21.3,0.8,1.3,2,0.165,-0.6,0.3,-0.3,0.2,3200000,1,0,0,0,0
brunsja01,Jalen Brunson,PG,26,NYK,56,1966,448,21.4,0.592,0.261,0.332,2,9.2,5.6,29.2,1.3,0.7,9.1,27.2,5.8,1.5,7.3,0.178,4.5,-0.4,4.1,3,27733332,0,0,0,1,0
bookede01,Devin Booker,SG,26,PHO,33,1117,264,21.3,0.583,0.308,0.31,2.3,12.9,7.5,28.3,1.3,1,9.8,31.9,2.3,1.1,3.4,0.146,4.1,-0.5,3.6,1.6,33833400,0,1,0,0,0
adebaba01,Bam Adebayo,C,25,MIA,54,1909,432,21.2,0.594,0.013,0.356,8.4,25.1,16.3,16.4,1.7,2.4,12.2,25.8,3,3.2,6.2,0.156,1.3,1,2.3,2.1,30351780,1,0,0,0,0
aytonde01,Deandre Ayton,C,24,PHO,51,1540,408,21.2,0.62,0.033,0.227,10.1,27.5,18.6,11.4,0.9,2.1,11.3,24.1,2.8,2.2,5,0.157,1.8,-0.1,1.7,1.4,30913750,1,0,0,0,0
claxtni01,Nic Claxton,C,23,BRK,54,1592,432,21.2,0.699,0.005,0.427,10.2,24.1,17.5,8.1,1.2,7.6,12.2,15.8,3.8,2.7,6.6,0.198,1,1.8,2.8,1.9,8500000,1,0,0,0,0
herwi01,Willy Herngómez,C,28,NOP,29,372,232,21.2,0.614,0.064,0.607,15,29.2,22.1,10.8,1.2,3,14.9,23.8,0.8,0.6,1.4,0.175,0.3,0,0.3,0.2,2443581,1,0,0,0,0
woodch01,Christian Wood,C,27,DAL,48,1329,384,21.1,0.634,0.379,0.338,5.7,28.8,17,11,0.8,3.8,12.2,26.1,2.2,1.7,3.9,0.139,2.3,-0.2,2.1,1.3,14317459,1,0,0,0,0
foxde01,De'Aaron Fox,PG,25,SAC,52,1770,416,21,0.595,0.26,0.333,1.6,12.7,7.3,29.2,1.5,0.9,11.3,29.7,3.7,1.4,5,0.137,2.8,-1,1.8,1.7,30351780,0,0,0,1,0
